"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CTDSP1|Q9GZU7",0.544618128335736,202418.257743902,15.0879538272231,1.01070782385879e-32,5.50354474563107e-30,63.7840230373096
"SHISA6|Q6ZSJ9",1.78466570036691,593366.930904762,14.0315778499234,6.20216196939691e-32,3.22371464182062e-29,61.8700675176476
"GPR150|Q8NGU9",-4.11887388581113,441798.033125,-20.3913140911885,4.17614989978462e-33,2.38771370520186e-30,61.1314105773642
"STK26|Q9P289",1.61961680956714,316185.429166667,17.4370777753056,2.71985216170256e-31,1.29589622787787e-28,60.7593192366252
"KITLG|P21583",0.373189337673669,104304.766234568,14.6242551914632,2.5078825114322e-31,1.24685376166205e-28,60.6103972263146
"ALG8|Q9BVK2",-0.626294977886639,342449.074642857,-13.9615169496873,3.83027032339466e-31,1.68458235184684e-28,60.0714366871854
"DNAJC5|Q9H3Z4",136.545403097131,81655278.5526316,13.5914338479142,3.64461868547995e-31,1.66704858673853e-28,60.0569615598823
"CACNA1G|O43497",1.20800496208852,334839.261770833,17.1348326500388,9.58441912919547e-31,4.05917899045742e-28,59.5048131025834
"RNF149|Q8NC42",5.07308202729291,1112088.88971698,13.5866644734445,1.32245226048303e-30,5.40080057093694e-28,58.8024755483607
"GPBP1|Q86WP2",0.817616333019706,161268.852857143,15.9465928580976,1.9816224164636e-30,7.81374218353837e-28,58.7201049945705
"INTS13|Q9NVM9",-0.738536202786911,248011.801989796,-13.6556132150541,3.2685958388195e-30,1.23320198442561e-27,57.9461033673175
"C1orf216|Q8TAB5",1.17205617768528,295573.13675,14.1873108788624,5.13836272960591e-30,1.83616180665761e-27,57.6054236324786
"CRCP|O75575",1.90720618437628,315550.731484375,14.9707162261828,8.71424324650475e-30,3.01961731890248e-27,57.1896158487569
"MAPKAPK5|Q8IW41",1.67746910761972,389169.730416667,16.4698306672936,1.59537441622213e-29,5.2123161284286e-27,56.705329164288
"MRC2|Q9UBG0",-1.91461909440314,542531.514166667,-13.1108069505277,1.34802740092609e-29,4.53373333223232e-27,56.4690135630522
"FIBCD1|Q8N539",1.17774005578999,173660.314,26.0856349041228,3.34317984409217e-30,1.23320198442561e-27,56.116465221758
"CLP1|Q92989",-2.849815431169,386327.57254386,-15.308870572622,2.82381335541559e-29,8.96952936643814e-27,55.4924921294308
"PDE7A|Q13946",-1.20193775128165,164671.139375,-17.7448881431808,3.3475713771303e-29,1.03458050533743e-26,55.1410543663635
